stratum,n,q50>0 %,q50_mean,q75>0 %,q75_mean,q90>0 %,q90_mean,obs_mean
dry (>3h away),23436,32.390339648404165,0.04537588056258775,51.07953575695511,0.12292009537116921,76.38675541901348,0.5073322136879501,0.0017791603685688396
within 3h of rain,3305,67.20121028744327,0.17506542386143864,75.43116490166415,0.5238163585049155,87.77609682299547,1.7850553554349282,0.012901421684487619
raining now,1259,81.65210484511518,0.2347114017801658,86.10007942811755,0.7020978480478844,94.67831612390786,2.306923128777741,2.5167658535256163
