horizon_h,cov_10_90,cov_25_75,target_10_90,target_25_75
0,0.08498631014796691,0.043232261447046484,0.8,0.5
1,0.08430374400093217,0.042435894634885264,0.8,0.5
2,0.08310027384489892,0.042234749169725576,0.8,0.5
3,0.08307900736392043,0.04282145224377417,0.8,0.5
4,0.08294967802092136,0.04274600075759783,0.8,0.5
5,0.08261512570758325,0.042903040149202626,0.8,0.5
6,0.08143889714668764,0.04256652385532336,0.8,0.5
7,0.08152364017956043,0.04259458986766163,0.8,0.5
8,0.0822674566907901,0.04290472338223612,0.8,0.5
9,0.08154875577649168,0.04365351254428036,0.8,0.5
10,0.08141738712075929,0.04311061217944045,0.8,0.5
11,0.08293600454923232,0.043378096612863244,0.8,0.5
12,0.08287703692902192,0.04438773650249717,0.8,0.5
13,0.08166598611678236,0.04262672811059908,0.8,0.5
14,0.08316135665896114,0.04374649058199823,0.8,0.5
15,0.08262955994107266,0.04433407721816246,0.8,0.5
16,0.08285011998278666,0.04344179193744849,0.8,0.5
17,0.08341418223463931,0.044059611779380975,0.8,0.5
18,0.0837868596524505,0.044559872769452995,0.8,0.5
19,0.0843311079493634,0.045033015942504834,0.8,0.5
20,0.08283591891536901,0.044030297281125494,0.8,0.5
21,0.08266923548471845,0.04466970254254605,0.8,0.5
22,0.08164129213073117,0.04353569708205001,0.8,0.5
23,0.08261253567492208,0.04395588353369683,0.8,0.5
24,0.0835237518159718,0.04445936968440418,0.8,0.5
