h,crpss_blend,crpss_raw,cov_q50,cov_q75,cov_q90,width_all,width_wet,wet_rate,n
0,0.5228108487530227,0.5495984401951102,0.8364936502388443,0.8784078993358966,0.9440536525690318,0.957086744865311,1.5796236595445332,0.08080653617616218,137328
1,0.5195280800937037,0.5446818444143509,0.8370292688966084,0.8786495087864951,0.9433411257492007,0.9621160917169321,1.5526102370560553,0.08135427818196383,137313
2,0.5192263944857871,0.5429856029354692,0.8380673541921575,0.8792023539008332,0.9422230961953039,0.9577374020017229,1.5039531868028242,0.08135961079065432,137304
3,0.5164989770283831,0.5386925692180142,0.8369011807037606,0.879365726813848,0.9421666387454385,0.9489718680232732,1.4438786309123133,0.08051511024029252,137291
4,0.5075683186007643,0.5278974852646424,0.8365482677234185,0.8780631720038463,0.9401789096418893,0.9446670308986065,1.3941325479699904,0.08117223695329118,137276
5,0.5165266900177189,0.5355328865448927,0.8360082469420018,0.8781244763701799,0.9398089798416179,0.9330603239213388,1.330563451379711,0.08126734808360593,137263
6,0.5158127076000463,0.5343878195320002,0.8587333508204366,0.8778744425985835,0.939363469441287,0.9317941452419817,1.2765443497409543,0.08075398560228499,137244
7,0.5071913401352826,0.5243700380304617,0.8590261178802542,0.8772153559144173,0.9381230688509299,0.9248337660927388,1.2460234835481698,0.08180055966886259,137224
8,0.512920163901084,0.5299305141832098,0.8594427560472557,0.8770288096435417,0.9379131410746951,0.9190243172888778,1.209642956534746,0.08142933146759371,137211
9,0.5103559090378998,0.5266086150461812,0.859614851961456,0.8767220140822485,0.9372640202924326,0.9164735874074958,1.19064611429607,0.08054288088400367,137194
10,0.5039508380327072,0.5191710621160045,0.8593182779081804,0.8765945969587847,0.9361505153737371,0.9112392078087056,1.1611611340747243,0.0810164598854077,137182
11,0.5055704859754284,0.5196044270674471,0.8579166848927576,0.8753043757199306,0.9353921525742531,0.910427972039568,1.1388562212936362,0.08207573305338058,137166
12,0.5027752398400278,0.516343352307463,0.8589624876964019,0.8751631365972804,0.9356494477051511,0.9081010203379631,1.1252915996746309,0.08150632496081076,137155
13,0.5019759006532354,0.5148101406170444,0.8602928308930758,0.8760645744618795,0.9343974216881527,0.9006672459455136,1.1012198691345239,0.08173161056991192,137144
14,0.500269674616584,0.5129216248889743,0.8591274037234469,0.8752287958229722,0.9344860024356273,0.9007301679735451,1.0922639747530898,0.08180498938970765,137131
15,0.4962285050678439,0.5082864880809556,0.8602079960326142,0.8748741959480156,0.9337286133111626,0.8995426348744129,1.079724660341598,0.08208258580200994,137118
16,0.4951472239969893,0.5067271522633552,0.8599738882446044,0.8743353537121726,0.9334369051005449,0.8971401114262552,1.0730146740471806,0.08204050968979526,137103
17,0.4938536373504362,0.5051310899848565,0.8596292865114854,0.8741383209202915,0.9340564750851649,0.8962888973074854,1.0652876435877954,0.08219597773676571,137087
18,0.4947659991434322,0.5052652774855892,0.8592439120475072,0.8737251411646264,0.9333863460612516,0.8956138668147235,1.052295387161372,0.08202868523571209,137074
19,0.497597922355549,0.507703731084663,0.8590273977600233,0.8732333734632082,0.9339973003538725,0.8955896554591252,1.0523369118546473,0.08213490934296451,137055
20,0.4947197391626035,0.5047220710335363,0.8605755899651202,0.8746296755739117,0.9333926825352812,0.8955616441123648,1.036364238366038,0.08224485924023292,137042
21,0.5012257131399793,0.5115798158619267,0.8611305718539277,0.8752736666958578,0.9336777884811863,0.8955373893236431,1.0352578092436653,0.08139212423738214,137028
22,0.5001883663047404,0.5095763190984106,0.8615542937218095,0.8758739982775483,0.9342548936605019,0.8955292179920264,1.0366150356569854,0.08051002087377933,137014
23,0.49975889805871476,0.5085960873190538,0.8610886051926628,0.8749790147517171,0.933336253020051,0.895511480861905,1.0308070157270817,0.08131327508558332,137001
24,0.493966105620984,0.5024585184046468,0.8596573197351419,0.8741266909526277,0.9326758116207594,0.8954867299879372,1.0238336301381787,0.08224618372159236,136979
